SetPause False
StreamOut (NaN,NaN)
StreamOut (5.56379619022473,3.3221985289748432)
StreamOut (5.591306573725584,3.5546433205968024)
StreamOut (5.899387065913658,3.8228153688748816)
StreamOut (5.839697207573491,4.020451187157078)
StreamOut (6.17837638155925,4.272309837117028)
StreamOut (6.364880383034892,4.5020217170839345)
StreamOut (-28.467562716591605,-2.326455986993837)
StreamOut (-46.143538176831036,-8.515138391436045)
StreamOut (-55.183774648953374,-14.118110619238843)
StreamOut (-60.26668685260203,-19.267799803382665)
StreamOut (-63.10332857838607,-23.95676614408863)
StreamOut (-63.8292804580921,-28.033631875579307)
StreamOut (-63.887903863351674,-31.638465141610673)
StreamOut (-63.71566904236621,-34.839786973342086)
StreamOut (-62.9448857268667,-37.58156243277509)
StreamOut (-63.23310159099243,-40.1826621584481)
StreamOut (-64.00146253075958,-42.647454087301085)
StreamOut (-64.42541300714387,-44.872581541681996)
StreamOut (-64.12862501016915,-46.77230021552639)
StreamOut (-63.72973547555594,-48.43113573257803)
StreamOut (-62.77070364484247,-49.771356892839364)
StreamOut (-61.03926135546911,-50.7263932403892)
StreamOut (-60.70434365841834,-51.69196142661348)
StreamOut (-60.870430780656605,-52.62752011520381)
StreamOut (-60.71994727332794,-53.42255810830499)
StreamOut (-60.67193590132347,-54.14338314188212)
StreamOut (-59.756744268267,-54.61360424835114)
StreamOut (-58.88447087081175,-54.95372667391791)
StreamOut (-58.072238500422856,-55.184515294246005)
StreamOut (-58.055948908004126,-55.470208705800125)
StreamOut (-58.026121926657275,-55.722959861403574)
StreamOut (-57.704533147930306,-55.88904260395626)
StreamOut (-57.57890058111926,-56.04553662769116)
StreamOut (-58.02165121309481,-56.287522629467084)
StreamOut (-58.29654629770346,-56.51599903839199)
StreamOut (-58.694521849335146,-56.773734697953074)
StreamOut (-58.67515205476747,-56.96199587429636)
StreamOut (-58.47630545452388,-57.09357766274601)
StreamOut (-58.53890670873618,-57.244407306578594)
StreamOut (-58.136106227365815,-57.2933078340386)
StreamOut (-58.41232881501794,-57.43285963055989)
StreamOut (-57.84298959715989,-57.41693588749931)
StreamOut (-57.925488207140305,-57.476050395505645)
StreamOut (-57.581907698917256,-57.45227466698496)
StreamOut (-57.32847205114333,-57.414545973357534)
StreamOut (-56.47032169227225,-57.234287580225555)
StreamOut (-56.36320937140008,-57.13645830451947)
StreamOut (-56.168752716616886,-57.02023114953924)
StreamOut (-55.94778528131235,-56.890878870615474)
StreamOut (-54.65546193476142,-56.53807796693775)
StreamOut (-54.096917426448314,-56.23808689478561)
StreamOut (-53.96078413829801,-55.996728397621126)
StreamOut (-53.566339949210416,-55.714229445776)
StreamOut (-53.364846197859876,-55.45912899593955)
StreamOut (-52.96208620333073,-55.169135672757044)
StreamOut (-52.1728119817165,-54.790560555345095)
StreamOut (-51.79779462268983,-54.453769955080226)
StreamOut (-51.8001303181764,-54.18863086653715)
StreamOut (-52.05375179381039,-54.000499554571405)
StreamOut (-52.3177396419892,-53.85861857957389)
StreamOut (-52.24221899213478,-53.689422511168694)
StreamOut (-51.98760091845569,-53.4937743352112)
StreamOut (-51.51491355426599,-53.24861477360942)
StreamOut (-50.36123592811269,-52.84450208399932)
StreamOut (-48.7027258195496,-52.264464349246744)
StreamOut (-46.141026396028536,-51.395938351619314)
StreamOut (-51.20148204521639,-51.882544467856135)
StreamOut (-54.430387962783435,-52.46022601420735)
StreamOut (-59.47848235980395,-53.66687350539079)
StreamOut (-66.61537386522053,-55.67543129394667)
StreamOut (-64.71269691941903,-56.38889610882023)
StreamOut (-63.12502372517677,-56.90374541328882)
StreamOut (-53.74799387057047,-55.65045881192767)
StreamOut (-62.01422528212585,-57.11346748992325)
StreamOut (-76.92468956787403,-60.58565511484173)
StreamOut (-77.30516168587408,-62.29566140019213)
StreamOut (-72.2626225004593,-62.78810577305464)
StreamOut (-90.745258188485,-67.43210309773342)
StreamOut (-109.43000348759806,-73.50038943995285)
StreamOut (-123.24652868497768,-79.85667641020768)
StreamOut (-132.82153838629705,-86.11068175409822)
StreamOut (-137.12915792757695,-91.64330579719946)
StreamOut (-136.0145515170289,-95.96897991128505)
StreamOut (-124.91405896167292,-97.7534423415436)
StreamOut (-127.22378703727469,-100.93145567863182)
StreamOut (-125.24525175292263,-103.1649855907064)
StreamOut (-114.00559590971878,-103.12508097665304)
StreamOut (-100.0003233345794,-101.41207557370942)
StreamOut (-85.38035968139644,-98.34690378439674)
StreamOut (-76.86584940035297,-95.34734394047823)
StreamOut (-68.52968468871656,-91.83195798174609)
StreamOut (-70.7643553864234,-89.94866307435466)
StreamOut (-65.10461174007581,-86.89828107244388)
StreamOut (-62.718830235230286,-84.24175587573555)
StreamOut (-65.21755103286978,-82.58920637247718)
StreamOut (-70.76909681414246,-81.9623496196688)
StreamOut (-90.0319104347206,-84.69558853521002)
StreamOut (-105.31018280281052,-88.28487693848022)
StreamOut (-106.83164460193488,-90.29170076016135)
StreamOut (-118.49559759493127,-94.27848730815407)
StreamOut (-123.62947040592105,-97.72697411752094)
StreamOut (-116.02466935461351,-98.7962638761408)
StreamOut (-133.03353149317047,-103.92087831839525)
StreamOut (-133.2443089998701,-106.87429989797117)
StreamOut (-137.79313967122175,-110.42106776466765)
StreamOut (-139.5162284841977,-113.5028933609234)
StreamOut (-130.36143530747222,-114.27326838256661)
StreamOut (-126.14598258548196,-115.03899466006825)
StreamOut (-112.2204958643173,-113.36459585369788)
StreamOut (-98.65548085897876,-110.5371824666433)
StreamOut (-83.03696858912383,-106.22530932067303)
StreamOut (-75.69600964891049,-102.43828303956204)
StreamOut (-64.06069950801967,-97.43699317322054)
StreamOut (-62.699068494395675,-93.82703727974926)
StreamOut (-85.04095041755798,-95.182616895422)
StreamOut (-102.53735168380791,-97.66773068167699)
StreamOut (-115.27065682053923,-100.70135400786214)
StreamOut (-126.46068925349121,-104.39629099345288)
StreamOut (-144.01162393637117,-110.11291805921152)
StreamOut (-141.3915060180008,-112.97876520004347)
StreamOut (-132.2573829333628,-113.99321470849031)
StreamOut (-131.25153438095037,-115.6184618833307)
StreamOut (-136.45215185960336,-118.22189271941218)
StreamOut (-137.68358173127012,-120.29120467256801)
StreamOut (-134.84382571382426,-121.46249120796146)
StreamOut (-112.07630605570897,-118.24712064536274)
StreamOut (-103.01012575909587,-115.81680307159148)
StreamOut (-95.51177496447272,-113.03646512429057)
StreamOut (-87.42888508539394,-109.66741807019257)
StreamOut (-90.49516225399073,-108.05682017862718)
StreamOut (-86.50514342049757,-105.50265058120719)
StreamOut (-88.96187511462077,-104.09424618497464)
StreamOut (-88.90486642270835,-102.56960732105892)
StreamOut (-92.1237150545343,-101.8469029496976)
StreamOut (-82.7991534611483,-99.00967181362142)
StreamOut (-84.66517980161122,-97.7618252354299)
StreamOut (-92.80038932978422,-98.07920260020902)
StreamOut (-85.25164751139562,-96.04157289489086)
StreamOut (-71.48674754136265,-92.20960033782708)
StreamOut (-73.91523893131085,-90.62301332696333)
StreamOut (-78.45205752060437,-89.85959960126971)
StreamOut (-77.17900422413229,-88.46423472734995)
StreamOut (-80.26803063771203,-87.95351695758362)
StreamOut (-82.11368893819375,-87.5540999841721)
StreamOut (-85.45684999307164,-87.67869109097677)
StreamOut (-77.27329814116958,-85.81979660507311)
StreamOut (-70.29160298053156,-83.56880772030742)
StreamOut (-60.95574386456012,-80.3739154151547)
StreamOut (-54.659292608761845,-77.17280800173886)
StreamOut (-64.38098719730222,-76.86579537952804)
StreamOut (-62.1467377265612,-75.17046466406998)
StreamOut (-76.84819219801986,-76.80838286729528)
StreamOut (-80.33224571757293,-77.50917450531205)
StreamOut (-83.34039822064653,-78.39311212832631)
StreamOut (-87.20465208917167,-79.66069151277784)
StreamOut (-99.52059947714024,-82.87827705147085)
StreamOut (-101.17321160672154,-84.87303172188452)
StreamOut (-101.4991485875834,-86.56823710801712)
StreamOut (-94.68149779860535,-86.69779809827969)
StreamOut (-96.87741782633474,-87.93535207473124)
